,stock,sector,ROE,EPS,beta,recom
0,EL,Consumer Defensive,0.53243,46.966,0.938318,2
1,SHW,Basic Materials,0.57046,74.301,1.084155,2.2
2,GM,Consumer Cyclical,0.20264,90.521,1.328671,1.8
3,CB,Financial Services,0.14243001,86.816,0.731576,2.1
4,CSX,Industrials,0.27854002,5.254,1.167195,2.1
5,CME,Financial Services,0.071669996,12.847,0.442328,2.6
6,EW,Healthcare,0.30299,8.176,1.05922,2
7,CHTR,Communication Services,0.17694001,270.338,1.05238,2.3
8,DUK,Utilities,0.05649,31.797,0.280952,2.6
9,F,Consumer Cyclical,0.081470005,33.768,1.08935,2.4
10,TFC,Financial Services,0.08879,17.077,1.33024,2.4
11,ICE,Financial Services,0.1503,12.404,0.821298,2
12,CI,Healthcare,0.17627001,493.034,0.871168,1.9
13,EQIX,Real Estate,0.03255,70.63,0.329629,1.7
14,USB,Financial Services,0.13912,15.089,1.108994,2.2
15,BDX,Healthcare,0.081190005,68.514,0.768013,2.2
16,SO,Utilities,0.08851,21.202,0.448144,2.6
17,NSC,Industrials,0.2023,43.501,1.343376,2.4
18,CL,Consumer Defensive,2.7066698,20.452,0.571428,2.8
19,ITW,Industrials,0.7964,40.73,1.102285,3
20,TMUS,Communication Services,0.06,63.799,0.548034,1.9
21,ETN,Industrials,0.13566,48.945,1.18909,2.1
22,REGN,Healthcare,0.51093,126.599,0.187532,2
23,APD,Basic Materials,0.1546,44.238,0.804675,2.3
24,FIS,Technology,0.00196,21.293,0.745974,1.9
25,AON,Financial Services,0.32708,53.166,0.876363,2.8
26,KLAC,Technology,0.82329005,48.673,1.224415,2.1
27,WM,Industrials,0.24409,41.077,0.82961,2.4
28,FDX,Industrials,0.24638,318.027,1.237224,1.9
29,D,Utilities,0.07534,17.228,0.36572,2.2
30,MCO,Financial Services,0.97449,31.945,1.163636,2.2
31,FISV,Technology,0.0417,23.722,0.886462,1.9
32,COF,Financial Services,0.20556,70.22,1.772458,2
33,ADSK,Technology,1.9555299,19.181,1.400519,2.1
34,HCA,Healthcare,4.74392,175.292,1.651428,2
35,BSX,Healthcare,0.07219,8.061,0.878835,1.8
36,FCX,Basic Materials,0.24268,14.477,2.062337,2.1
37,NXPI,Technology,0.20143,38.383,1.406753,2
38,PGR,Financial Services,0.31037,78.125,0.467794,2.9
39,ILMN,Healthcare,0.11862001,28.968,0.85974,2.8
40,HUM,Healthcare,0.1668,634.468,0.941818,2.1
41,ECL,Basic Materials,0.16858,42.455,1.00753,2.6
42,NOC,Industrials,0.43555,228.659,0.837336,2.1
43,JCI,Industrials,0.09365,33.028,1.114805,2.1
44,PSA,Real Estate,0.19327,19.046,0.201558,2.7
45,VRTX,Healthcare,0.24639,27.564,0.604155,2.1
46,SNPS,Technology,0.15411,26.727,1.079148,1.9
47,IDXX,Healthcare,1.26533,36.727,0.92935,2.4
48,EXC,Utilities,0.03813,35.005,0.436887,2.1
49,DG,Consumer Defensive,0.37108,143.171,0.487272,1.9
50,EMR,Industrials,0.25335,30.302,1.512727,2.3
51,IQV,Healthcare,0.1312,70.703,1.451033,1.7
52,XLNX,Technology,0.27909002,13.471,1.000529,2.9
53,INFO,Industrials,0.070700005,11.53,1.008831,2.1
54,TEL,Technology,0.17497,43.467,1.366137,2.1
55,SPG,Real Estate,0.69601995,15.107,1.522597,2.1
56,ATVI,Communication Services,0.16877002,11.672,0.594285,2
57,DXCM,Healthcare,0.31663,22.544,0.737037,1.6
58,CDNS,Technology,0.27576,10.869,1.071168,2.3
59,EOG,Energy,0.091079995,23.823,2.176976,2.1
60,APH,Technology,0.26680002,17.185,1.247826,2.2
61,ROP,Industrials,0.10163,57.052,1.038209,2.4
62,MSCI,Financial Services,,23.462,0.947532,2.4
63,DLR,Real Estate,0.0322,15.55,0.1381,2.2
64,NEM,Basic Materials,0.07253,15.247,0.231441,
65,CMG,Consumer Cyclical,0.34518,256.012,1.262337,2.1
66,CNC,Healthcare,0.02755,196.096,0.456084,1.8
67,A,Healthcare,0.19945998,20.072,0.993006,2
68,FTNT,Technology,0.59995997,19.173,1.123636,2.2
69,ALGN,Healthcare,0.22596,47.58,1.567272,1.8
70,MCHP,Technology,0.11609,11.14,1.671397,2.1
71,GD,Industrials,0.2173,136.876,1.092987,2.2
72,TT,Industrials,0.21982001,56.341,1.227541,2.6
73,KMB,Consumer Defensive,5.84596,55.528,0.524456,2.9
74,ORLY,Consumer Cyclical,7.17367,183.309,0.997402,2.2
75,AIG,Financial Services,0.06719,51.154,1.341269,2.2
76,CTSH,Technology,0.16548,33.928,1.126753,2.4
77,CARR,Industrials,0.35643002,23.121,,2.1
78,MSI,Technology,,47.957,0.765714,1.8
79,MET,Financial Services,0.07728,80.17,1.312227,2
80,MAR,Consumer Cyclical,-2.88785,5.43,1.8875,2.5
81,TROW,Financial Services,0.36981,32.778,1.189956,3.1
82,AEP,Utilities,0.11048,32.769,0.345454,2.2
83,APTV,Consumer Cyclical,0.13878,58.132,2.110807,2.2
84,BK,Financial Services,0.08181,18.309,1.148571,2.2
85,AZO,Consumer Cyclical,,698.591,0.851428,2.2
86,PAYX,Industrials,0.42571998,12.022,0.913932,3
87,HPQ,Technology,,49.145,1.015599,2.6
88,BAX,Healthcare,0.14055,24.68,0.613756,2.2
89,HLT,Consumer Cyclical,,4.682,1.297282,2.3
90,EBAY,Consumer Cyclical,0.28445998,17.341,1.128042,2.5
91,SBAC,Real Estate,,20.49,0.283636,1.9
92,DOW,Basic Materials,0.39372003,68.914,1.622354,2.7
93,DD,Basic Materials,0.03598,33.114,1.275655,2.2
94,SRE,Utilities,0.09702,39.576,0.657236,2.2
95,LHX,Industrials,0.07085,88.154,0.887554,2.2
96,SLB,Energy,0.08347999,15.518,2.298941,1.9
97,PXD,Energy,0.01559,57.922,1.941593,1.9
98,PRU,Financial Services,0.117019996,179.88,1.64,2.8
99,STZ,Consumer Defensive,0.06776,45.518,1.151688,2.1
